Energy,Coordinates MAX,Coordinates 50%,Coordinates 10%
7,"(593.6066666666667, 1.3)","(278.8533333333333, 2.5)","(49.871, 3.1)"
8.2.,"(721.9866666666667, 1.9)","(393.8333333333333, 2.9)","(55.486, 3.7)"
8.3.,"(737.4766666666666, 1.9)","(418.8333333333333, 2.9)","(66.46666666666667, 3.7)"
8.4.,"(769.5, 1.7)","(350.56, 3.1)","(82.694, 3.7)"
8.5.,"(766.0466666666667, 1.9)","(382.67333333333335, 3.1)","(91.44466666666666, 3.7)"
8.6.,"(779.42, 1.9)","(395.82, 3.1)","(52.141, 3.9)"
8.7.,"(793.2033333333333, 1.9)","(438.81, 3.1)","(66.238, 3.9)"
8.8.,"(812.1133333333333, 1.7)","(457.5866666666666, 3.1)","(78.23233333333333, 3.9)"
8.9.,"(831.1266666666667, 1.9)","(373.4066666666667, 3.2999999999999994)","(96.93266666666666, 3.9)"
8.95.,"(837.23, 1.9)","(397.6133333333333, 3.2999999999999994)","(109.13966666666666, 3.9)"
8.,"(709.0966666666667, 1.7)","(332.08, 2.9)","(73.05566666666667, 3.5)"
9.1.,"(866.5033333333334, 2.1)","(455.8466666666666, 3.2999999999999994)","(68.79166666666667, 4.1)"
9.2.,"(887.2133333333335, 2.1)","(469.56666666666666, 3.2999999999999994)","(81.55733333333335, 4.1)"
9.3.,"(894.41, 1.9)","(502.0866666666666, 3.2999999999999994)","(96.71, 4.1)"
9.4.,"(913.85, 2.1)","(419.8666666666666, 3.5)","(112.58033333333331, 4.1)"
9.5.,"(925.1166666666668, 1.9)","(457.07, 3.5)","(71.403, 4.3)"
9.6.,"(925.6066666666668, 2.1)","(483.16, 3.5)","(84.74, 4.3)"
9.7.,"(958.54, 2.1)","(523.6433333333333, 3.5)","(101.351, 4.3)"
9.8.,"(978.0266666666666, 2.1)","(441.2433333333333, 3.7)","(115.755, 4.3)"
9.9.,"(971.92, 2.1)","(456.4166666666667, 3.7)","(67.85633333333332, 4.5)"
9.95.,"(973.7, 2.3000000000000003)","(479.35, 3.7)","(78.311, 4.5)"
9.,"(828.6766666666666, 1.9)","(405.22, 3.2999999999999994)","(56.60533333333333, 4.1)"
